_id,name,userId,crewRole,busNumber,routeId,routeShortName,startPoint,endPoint,distance,shift,startTime,expectedTime,__v
66d3db8753e52b692a1f776e,Trevor Mason,DTC793XMS,conductor,DL55 L 4436,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,8:00 AM,54.35,0
66d3db8753e52b692a1f7770,Andrew Hardy,DTC598NKZ,driver,DL55 L 4436,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,8:00 AM,54.35,0
66d3db8753e52b692a1f7774,Sharon Diaz,DTC145IAA,conductor,DL64 Z 6205,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,10:00 AM,54.35,0
66d3db8753e52b692a1f7776,Linda Anderson,DTC303IYB,driver,DL64 Z 6205,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,10:00 AM,54.35,0
66d3db8753e52b692a1f777a,Theresa Cruz,DTC714EKG,conductor,DL78 P 9060,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,5:00 AM,54.35,0
66d3db8753e52b692a1f777c,Elizabeth Cole,DTC416PSG,driver,DL78 P 9060,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,5:00 AM,54.35,0
66d3db8853e52b692a1f7780,Linda Green,DTC868TRQ,conductor,DL59 R 5470,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,6:00 AM,54.35,0
66d3db8853e52b692a1f7782,Mrs. Julie Thomas,DTC736JMM,driver,DL59 R 5470,1,445,Anand Vihar ISBT,Badarpur Border,15.4,morning,6:00 AM,54.35,0
66d3db8853e52b692a1f7786,Monique White,DTC518FNC,conductor,DL58 I 4974,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,2:00 PM,54.35,0
66d3db8853e52b692a1f7788,Allison Krueger,DTC528BAC,driver,DL58 I 4974,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,2:00 PM,54.35,0
66d3db8853e52b692a1f778c,Mike Rogers,DTC857MBA,conductor,DL26 J 8739,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f778e,Ashley Ayala,DTC524LTN,driver,DL26 J 8739,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f7792,Susan Hoffman,DTC338IJW,conductor,DL80 H 9576,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f7794,Michael Powers,DTC966HFW,driver,DL80 H 9576,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f7798,Thomas Browning,DTC133NBJ,conductor,DL34 Q 9212,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f779a,Jeffrey Smith,DTC680DDR,driver,DL34 Q 9212,1,445,Anand Vihar ISBT,Badarpur Border,15.4,afternoon,6:00 PM,54.35,0
66d3db8853e52b692a1f779e,Cody Roberts DDS,DTC835AOC,conductor,DL53 P 7750,1,445,Anand Vihar ISBT,Badarpur Border,15.4,evening,3:00 AM,54.35,0
66d3db8953e52b692a1f77a0,Larry Mcgee,DTC532PNG,driver,DL53 P 7750,1,445,Anand Vihar ISBT,Badarpur Border,15.4,evening,3:00 AM,54.35,0
